,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
354,72 ST-2 AVE,1/1/2017,0:00:00,68,34
355,72 ST-2 AVE,1/1/2017,4:00:00,119538148,63
356,72 ST-2 AVE,1/1/2017,8:00:00,119538162,14
357,72 ST-2 AVE,1/1/2017,12:00:00,119538194,32
358,72 ST-2 AVE,1/1/2017,16:00:00,119543178,5024
359,72 ST-2 AVE,1/1/2017,20:00:00,119547965,3852
360,72 ST-2 AVE,1/2/2017,0:00:00,119548900,935
361,72 ST-2 AVE,1/2/2017,4:00:00,119548901,1
362,72 ST-2 AVE,1/2/2017,8:00:00,119549079,178
363,72 ST-2 AVE,1/2/2017,12:00:00,119551120,2041
364,72 ST-2 AVE,1/2/2017,16:00:00,119555496,4376
365,72 ST-2 AVE,1/2/2017,20:00:00,119558989,3493
366,72 ST-2 AVE,1/3/2017,0:00:00,119559738,749
367,72 ST-2 AVE,1/3/2017,4:00:00,119559738,0
368,72 ST-2 AVE,1/3/2017,8:00:00,119560961,1223
369,72 ST-2 AVE,1/3/2017,12:00:00,119561171,3978
370,72 ST-2 AVE,1/3/2017,16:00:00,119570196,4183
371,72 ST-2 AVE,1/3/2017,20:00:00,119566378,4916
372,72 ST-2 AVE,1/4/2017,0:00:00,119578339,1078
373,72 ST-2 AVE,1/4/2017,4:00:00,119578339,0
374,72 ST-2 AVE,1/4/2017,8:00:00,119579738,1399
375,72 ST-2 AVE,1/4/2017,12:00:00,119577094,4350
376,72 ST-2 AVE,1/4/2017,16:00:00,119590342,4830
377,72 ST-2 AVE,1/4/2017,20:00:00,117478283,4651
378,72 ST-2 AVE,1/5/2017,0:00:00,119599759,1339
379,72 ST-2 AVE,1/5/2017,4:00:00,119599759,0
380,72 ST-2 AVE,1/5/2017,8:00:00,119601111,1352
381,72 ST-2 AVE,1/5/2017,12:00:00,119585809,3855
382,72 ST-2 AVE,1/5/2017,16:00:00,119611746,4617
383,72 ST-2 AVE,1/5/2017,20:00:00,117490967,4799
384,72 ST-2 AVE,1/6/2017,0:00:00,119621423,1425
385,72 ST-2 AVE,1/6/2017,4:00:00,119621423,0
386,72 ST-2 AVE,1/6/2017,8:00:00,119622642,1219
387,72 ST-2 AVE,1/6/2017,12:00:00,119612588,4610
388,72 ST-2 AVE,1/6/2017,16:00:00,119633370,4864
389,72 ST-2 AVE,1/6/2017,20:00:00,117503874,5086
390,72 ST-2 AVE,1/7/2017,0:00:00,119643511,1608
391,72 ST-2 AVE,1/7/2017,4:00:00,119643514,3
392,72 ST-2 AVE,1/7/2017,8:00:00,119643772,258
393,72 ST-2 AVE,1/7/2017,12:00:00,119645983,2211
394,72 ST-2 AVE,1/7/2017,16:00:00,119650087,4104
395,72 ST-2 AVE,1/7/2017,20:00:00,119634378,3628
396,72 ST-2 AVE,1/8/2017,0:00:00,119655873,1274
397,72 ST-2 AVE,1/8/2017,4:00:00,119655874,1
398,72 ST-2 AVE,1/8/2017,8:00:00,119656055,181
399,72 ST-2 AVE,1/8/2017,12:00:00,119657964,1909
400,72 ST-2 AVE,1/8/2017,16:00:00,119661775,3811
401,72 ST-2 AVE,1/8/2017,20:00:00,119664881,3106
402,72 ST-2 AVE,1/9/2017,0:00:00,119665740,859
403,72 ST-2 AVE,1/9/2017,4:00:00,119665740,0
404,72 ST-2 AVE,1/9/2017,8:00:00,119667171,1431
405,72 ST-2 AVE,1/9/2017,12:00:00,119648933,4715
406,72 ST-2 AVE,1/9/2017,16:00:00,119677505,4313
407,72 ST-2 AVE,1/9/2017,20:00:00,117529941,4771
408,72 ST-2 AVE,1/10/2017,0:00:00,119687673,1953
409,72 ST-2 AVE,1/10/2017,4:00:00,119687824,151
410,72 ST-2 AVE,1/10/2017,8:00:00,119689431,1607
411,72 ST-2 AVE,1/10/2017,12:00:00,119648114,4047
412,72 ST-2 AVE,1/10/2017,16:00:00,119700610,4820
413,72 ST-2 AVE,1/10/2017,20:00:00,117543743,5318
414,72 ST-2 AVE,1/11/2017,0:00:00,119711574,2060
415,72 ST-2 AVE,1/11/2017,4:00:00,119711732,158
416,72 ST-2 AVE,1/11/2017,8:00:00,119713292,1560
417,72 ST-2 AVE,1/11/2017,12:00:00,119665057,3845
418,72 ST-2 AVE,1/11/2017,16:00:00,119714813,5016
419,72 ST-2 AVE,1/11/2017,20:00:00,117535128,4439
420,72 ST-2 AVE,1/12/2017,0:00:00,119735833,2296
421,72 ST-2 AVE,1/12/2017,4:00:00,119736003,170
422,72 ST-2 AVE,1/12/2017,8:00:00,119737521,1518
423,72 ST-2 AVE,1/12/2017,12:00:00,119682019,3938
424,72 ST-2 AVE,1/12/2017,16:00:00,119748924,5035
425,72 ST-2 AVE,1/12/2017,20:00:00,117557805,4833
426,72 ST-2 AVE,1/13/2017,0:00:00,119760583,2438
427,72 ST-2 AVE,1/13/2017,4:00:00,119760750,167
428,72 ST-2 AVE,1/13/2017,8:00:00,119762153,1403
429,72 ST-2 AVE,1/13/2017,12:00:00,119699651,4067
430,72 ST-2 AVE,1/13/2017,16:00:00,119774141,5504
431,72 ST-2 AVE,1/13/2017,20:00:00,117587020,5538
432,72 ST-2 AVE,1/14/2017,0:00:00,119785957,2643
433,72 ST-2 AVE,1/14/2017,4:00:00,119786254,297
434,72 ST-2 AVE,1/14/2017,8:00:00,119786598,344
435,72 ST-2 AVE,1/14/2017,12:00:00,119789140,2542
436,72 ST-2 AVE,1/14/2017,16:00:00,119748238,3546
437,72 ST-2 AVE,1/14/2017,20:00:00,119797766,4179
438,72 ST-2 AVE,1/15/2017,0:00:00,119799778,2012
439,72 ST-2 AVE,1/15/2017,4:00:00,119800057,279
440,72 ST-2 AVE,1/15/2017,8:00:00,119800305,248
441,72 ST-2 AVE,1/15/2017,12:00:00,119802203,1898
442,72 ST-2 AVE,1/15/2017,16:00:00,119806268,4065
443,72 ST-2 AVE,1/15/2017,20:00:00,119809814,3546
444,72 ST-2 AVE,1/16/2017,0:00:00,119811303,1489
445,72 ST-2 AVE,1/16/2017,4:00:00,119811453,150
446,72 ST-2 AVE,1/16/2017,8:00:00,119812017,564
447,72 ST-2 AVE,1/16/2017,12:00:00,119815285,3268
448,72 ST-2 AVE,1/16/2017,16:00:00,119768970,3723
449,72 ST-2 AVE,1/16/2017,20:00:00,119825186,5287
450,72 ST-2 AVE,1/17/2017,0:00:00,119826942,1756
451,72 ST-2 AVE,1/17/2017,4:00:00,119827069,127
452,72 ST-2 AVE,1/17/2017,8:00:00,119828728,1659
453,72 ST-2 AVE,1/17/2017,12:00:00,119745580,4165
454,72 ST-2 AVE,1/17/2017,16:00:00,119840081,4936
455,72 ST-2 AVE,1/17/2017,20:00:00,117626359,5644
456,72 ST-2 AVE,1/18/2017,0:00:00,119851784,2254
457,72 ST-2 AVE,1/18/2017,4:00:00,119851930,146
458,72 ST-2 AVE,1/18/2017,8:00:00,119853630,1700
459,72 ST-2 AVE,1/18/2017,12:00:00,119763856,4230
460,72 ST-2 AVE,1/18/2017,16:00:00,119865262,5191
461,72 ST-2 AVE,1/18/2017,20:00:00,117619581,4687
462,72 ST-2 AVE,1/19/2017,0:00:00,119876731,2332
463,72 ST-2 AVE,1/19/2017,4:00:00,119876906,175
464,72 ST-2 AVE,1/19/2017,8:00:00,119878591,1685
465,72 ST-2 AVE,1/19/2017,12:00:00,119782027,4213
466,72 ST-2 AVE,1/19/2017,16:00:00,119890486,5312
467,72 ST-2 AVE,1/19/2017,20:00:00,117633136,5145
468,72 ST-2 AVE,1/20/2017,0:00:00,119903083,2541
469,72 ST-2 AVE,1/20/2017,4:00:00,119903255,172
470,72 ST-2 AVE,1/20/2017,8:00:00,119904780,1525
471,72 ST-2 AVE,1/20/2017,12:00:00,119800730,3945
472,72 ST-2 AVE,1/20/2017,16:00:00,119916361,5414
473,72 ST-2 AVE,1/20/2017,20:00:00,117671484,5638
474,72 ST-2 AVE,1/21/2017,0:00:00,119928612,2943
475,72 ST-2 AVE,1/21/2017,4:00:00,119928940,328
476,72 ST-2 AVE,1/21/2017,8:00:00,119929309,369
477,72 ST-2 AVE,1/21/2017,12:00:00,119931880,2571
478,72 ST-2 AVE,1/21/2017,16:00:00,119866088,3976
479,72 ST-2 AVE,1/21/2017,20:00:00,119870588,4500
480,72 ST-2 AVE,1/22/2017,0:00:00,119944662,2419
481,72 ST-2 AVE,1/22/2017,4:00:00,119944989,327
482,72 ST-2 AVE,1/22/2017,8:00:00,119945243,254
483,72 ST-2 AVE,1/22/2017,12:00:00,119947104,1861
484,72 ST-2 AVE,1/22/2017,16:00:00,119930880,3716
485,72 ST-2 AVE,1/22/2017,20:00:00,119954185,3365
486,72 ST-2 AVE,1/23/2017,0:00:00,119955530,1345
487,72 ST-2 AVE,1/23/2017,4:00:00,119955630,100
488,72 ST-2 AVE,1/23/2017,8:00:00,119957258,1628
489,72 ST-2 AVE,1/23/2017,12:00:00,119837592,4146
490,72 ST-2 AVE,1/23/2017,16:00:00,119968452,4798
491,72 ST-2 AVE,1/23/2017,20:00:00,117674372,4391
492,72 ST-2 AVE,1/24/2017,0:00:00,119979289,1997
493,72 ST-2 AVE,1/24/2017,4:00:00,119979497,208
494,72 ST-2 AVE,1/24/2017,8:00:00,119981282,1785
495,72 ST-2 AVE,1/24/2017,12:00:00,119855772,4448
496,72 ST-2 AVE,1/24/2017,16:00:00,119993002,4849
497,72 ST-2 AVE,1/24/2017,20:00:00,117687627,5006
498,72 ST-2 AVE,1/25/2017,0:00:00,120005294,2377
499,72 ST-2 AVE,1/25/2017,4:00:00,120005497,203
500,72 ST-2 AVE,1/25/2017,8:00:00,120007195,1698
501,72 ST-2 AVE,1/25/2017,12:00:00,119874887,4479
502,72 ST-2 AVE,1/25/2017,16:00:00,120019549,5460
503,72 ST-2 AVE,1/25/2017,20:00:00,117701547,5049
504,72 ST-2 AVE,1/26/2017,0:00:00,120031969,2485
505,72 ST-2 AVE,1/26/2017,4:00:00,120032185,216
506,72 ST-2 AVE,1/26/2017,8:00:00,120033830,1645
507,72 ST-2 AVE,1/26/2017,12:00:00,119894294,4372
508,72 ST-2 AVE,1/26/2017,16:00:00,120046008,5294
509,72 ST-2 AVE,1/26/2017,20:00:00,117715256,5085
510,72 ST-2 AVE,1/27/2017,0:00:00,120058317,2642
511,72 ST-2 AVE,1/27/2017,4:00:00,120058562,245
512,72 ST-2 AVE,1/27/2017,8:00:00,120060071,1509
513,72 ST-2 AVE,1/27/2017,12:00:00,119913288,4253
514,72 ST-2 AVE,1/27/2017,16:00:00,120072197,5608
515,72 ST-2 AVE,1/27/2017,20:00:00,117764349,5835
516,72 ST-2 AVE,1/28/2017,0:00:00,120084879,3068
517,72 ST-2 AVE,1/28/2017,4:00:00,120085229,350
518,72 ST-2 AVE,1/28/2017,8:00:00,120085576,347
519,72 ST-2 AVE,1/28/2017,12:00:00,120088408,2832
520,72 ST-2 AVE,1/28/2017,16:00:00,119996029,4021
521,72 ST-2 AVE,1/28/2017,20:00:00,120000188,4159
522,72 ST-2 AVE,1/29/2017,0:00:00,120101148,2532
523,72 ST-2 AVE,1/29/2017,4:00:00,120101500,352
524,72 ST-2 AVE,1/29/2017,8:00:00,120101734,234
525,72 ST-2 AVE,1/29/2017,12:00:00,120103809,2075
526,72 ST-2 AVE,1/29/2017,16:00:00,120007577,3310
527,72 ST-2 AVE,1/29/2017,20:00:00,120111424,3395
528,72 ST-2 AVE,1/30/2017,0:00:00,120112935,1511
529,72 ST-2 AVE,1/30/2017,4:00:00,120113050,115
530,72 ST-2 AVE,1/30/2017,8:00:00,120114662,1612
531,72 ST-2 AVE,1/30/2017,12:00:00,119951047,4249
532,72 ST-2 AVE,1/30/2017,16:00:00,120126424,5171
533,72 ST-2 AVE,1/30/2017,20:00:00,117796693,5695
534,72 ST-2 AVE,1/31/2017,0:00:00,120138356,2403
535,72 ST-2 AVE,1/31/2017,4:00:00,120138527,171
536,72 ST-2 AVE,1/31/2017,8:00:00,120140324,1797
537,72 ST-2 AVE,1/31/2017,12:00:00,119886082,3920
538,72 ST-2 AVE,1/31/2017,16:00:00,120152540,4917
539,72 ST-2 AVE,1/31/2017,20:00:00,117772306,5190
540,72 ST-2 AVE,2/1/2017,0:00:00,120165061,2466
541,72 ST-2 AVE,2/1/2017,4:00:00,120165272,211
542,72 ST-2 AVE,2/1/2017,8:00:00,120167064,1792
543,72 ST-2 AVE,2/1/2017,12:00:00,119990129,4473
544,72 ST-2 AVE,2/1/2017,16:00:00,120179297,5310
545,72 ST-2 AVE,2/1/2017,20:00:00,117786346,5270
546,72 ST-2 AVE,2/2/2017,0:00:00,120192277,2769
547,72 ST-2 AVE,2/2/2017,4:00:00,120192488,211
548,72 ST-2 AVE,2/2/2017,8:00:00,120194197,1709
549,72 ST-2 AVE,2/2/2017,12:00:00,120010349,4622
550,72 ST-2 AVE,2/2/2017,16:00:00,120206664,5478
551,72 ST-2 AVE,2/2/2017,20:00:00,117800889,5290
552,72 ST-2 AVE,2/3/2017,0:00:00,120219774,2827
553,72 ST-2 AVE,2/3/2017,4:00:00,120220002,228
554,72 ST-2 AVE,2/3/2017,8:00:00,120221598,1596
555,72 ST-2 AVE,2/3/2017,12:00:00,120030296,4374
556,72 ST-2 AVE,2/3/2017,16:00:00,120136392,4908
557,72 ST-2 AVE,2/3/2017,20:00:00,117815263,5285
558,72 ST-2 AVE,2/4/2017,0:00:00,120247259,3047
559,72 ST-2 AVE,2/4/2017,4:00:00,120247644,385
560,72 ST-2 AVE,2/4/2017,8:00:00,120248012,368
561,72 ST-2 AVE,2/4/2017,12:00:00,120250708,2696
562,72 ST-2 AVE,2/4/2017,16:00:00,120130579,3768
563,72 ST-2 AVE,2/4/2017,20:00:00,120134322,3743
564,72 ST-2 AVE,2/5/2017,0:00:00,120262457,2399
565,72 ST-2 AVE,2/5/2017,4:00:00,120262807,350
566,72 ST-2 AVE,2/5/2017,8:00:00,120263064,257
567,72 ST-2 AVE,2/5/2017,12:00:00,120265087,2023
568,72 ST-2 AVE,2/5/2017,16:00:00,120268678,3591
569,72 ST-2 AVE,2/5/2017,20:00:00,120272044,3366
570,72 ST-2 AVE,2/6/2017,0:00:00,120274077,2033
571,72 ST-2 AVE,2/6/2017,4:00:00,120274228,151
572,72 ST-2 AVE,2/6/2017,8:00:00,120275825,1597
573,72 ST-2 AVE,2/6/2017,12:00:00,120068536,4305
574,72 ST-2 AVE,2/6/2017,16:00:00,120287561,5077
575,72 ST-2 AVE,2/6/2017,20:00:00,117843685,4941
576,72 ST-2 AVE,2/7/2017,0:00:00,120299741,2459
577,72 ST-2 AVE,2/7/2017,4:00:00,120299916,175
578,72 ST-2 AVE,2/7/2017,8:00:00,120301744,1828
579,72 ST-2 AVE,2/7/2017,12:00:00,120088181,4751
580,72 ST-2 AVE,2/7/2017,16:00:00,120205261,4448
581,72 ST-2 AVE,2/7/2017,20:00:00,117858086,5353
582,72 ST-2 AVE,2/8/2017,0:00:00,120327209,2480
583,72 ST-2 AVE,2/8/2017,4:00:00,120327418,209
584,72 ST-2 AVE,2/8/2017,8:00:00,120329189,1771
585,72 ST-2 AVE,2/8/2017,12:00:00,120108272,4526
586,72 ST-2 AVE,2/8/2017,16:00:00,120341597,5546
587,72 ST-2 AVE,2/8/2017,20:00:00,120042592,6191
588,72 ST-2 AVE,2/9/2017,0:00:00,120354568,2653
589,72 ST-2 AVE,2/9/2017,4:00:00,120354786,218
590,72 ST-2 AVE,2/9/2017,8:00:00,120356110,1324
591,72 ST-2 AVE,2/9/2017,12:00:00,120218219,4158
592,72 ST-2 AVE,2/9/2017,16:00:00,120365543,4231
593,72 ST-2 AVE,2/9/2017,20:00:00,120254044,5327
594,72 ST-2 AVE,2/10/2017,0:00:00,120373908,1899
595,72 ST-2 AVE,2/10/2017,4:00:00,120374081,173
596,72 ST-2 AVE,2/10/2017,8:00:00,120375876,1795
597,72 ST-2 AVE,2/10/2017,12:00:00,120143550,4908
598,72 ST-2 AVE,2/10/2017,16:00:00,120268548,4848
599,72 ST-2 AVE,2/10/2017,20:00:00,117897726,5682
600,72 ST-2 AVE,2/11/2017,0:00:00,120402333,3018
601,72 ST-2 AVE,2/11/2017,4:00:00,120402736,403
602,72 ST-2 AVE,2/11/2017,8:00:00,120403083,347
603,72 ST-2 AVE,2/11/2017,12:00:00,120405798,2715
604,72 ST-2 AVE,2/11/2017,16:00:00,120259818,3855
605,72 ST-2 AVE,2/11/2017,20:00:00,120264498,4680
606,72 ST-2 AVE,2/12/2017,0:00:00,120418975,2645
607,72 ST-2 AVE,2/12/2017,4:00:00,120419388,413
608,72 ST-2 AVE,2/12/2017,8:00:00,120419626,238
609,72 ST-2 AVE,2/12/2017,12:00:00,120421539,1913
610,72 ST-2 AVE,2/12/2017,16:00:00,120425016,3477
611,72 ST-2 AVE,2/12/2017,20:00:00,120428002,2986
612,72 ST-2 AVE,2/13/2017,0:00:00,120429382,1380
613,72 ST-2 AVE,2/13/2017,4:00:00,120429498,116
614,72 ST-2 AVE,2/13/2017,8:00:00,120431278,1780
615,72 ST-2 AVE,2/13/2017,12:00:00,120182758,4616
616,72 ST-2 AVE,2/13/2017,16:00:00,120443264,5136
617,72 ST-2 AVE,2/13/2017,20:00:00,117926927,5065
618,72 ST-2 AVE,2/14/2017,0:00:00,120455599,2443
619,72 ST-2 AVE,2/14/2017,4:00:00,120455792,193
620,72 ST-2 AVE,2/14/2017,8:00:00,120457676,1884
621,72 ST-2 AVE,2/14/2017,12:00:00,120072496,3752
622,72 ST-2 AVE,2/14/2017,16:00:00,120339296,4607
623,72 ST-2 AVE,2/14/2017,20:00:00,117941598,5663
624,72 ST-2 AVE,2/15/2017,0:00:00,120483493,2547
625,72 ST-2 AVE,2/15/2017,4:00:00,120483765,272
626,72 ST-2 AVE,2/15/2017,8:00:00,120485622,1857
627,72 ST-2 AVE,2/15/2017,12:00:00,120223261,4673
628,72 ST-2 AVE,2/15/2017,16:00:00,120363265,4741
629,72 ST-2 AVE,2/15/2017,20:00:00,117956208,5388
630,72 ST-2 AVE,2/16/2017,0:00:00,120511403,2736
631,72 ST-2 AVE,2/16/2017,4:00:00,120511591,188
632,72 ST-2 AVE,2/16/2017,8:00:00,120513438,1847
633,72 ST-2 AVE,2/16/2017,12:00:00,120105554,3831
634,72 ST-2 AVE,2/16/2017,16:00:00,120386899,4711
635,72 ST-2 AVE,2/16/2017,20:00:00,117970756,5332
636,72 ST-2 AVE,2/17/2017,0:00:00,120539401,2813
637,72 ST-2 AVE,2/17/2017,4:00:00,120539604,203
638,72 ST-2 AVE,2/17/2017,8:00:00,120541174,1570
639,72 ST-2 AVE,2/17/2017,12:00:00,120264385,4552
640,72 ST-2 AVE,2/17/2017,16:00:00,120379336,5151
641,72 ST-2 AVE,2/17/2017,20:00:00,117985460,5173
642,72 ST-2 AVE,2/18/2017,0:00:00,120566575,2874
643,72 ST-2 AVE,2/18/2017,4:00:00,120566869,294
644,72 ST-2 AVE,2/18/2017,8:00:00,120567242,373
645,72 ST-2 AVE,2/18/2017,12:00:00,120569810,2568
646,72 ST-2 AVE,2/18/2017,16:00:00,120574189,4379
647,72 ST-2 AVE,2/18/2017,20:00:00,120578482,4293
648,72 ST-2 AVE,2/19/2017,0:00:00,120580672,2190
649,72 ST-2 AVE,2/19/2017,4:00:00,120580992,320
650,72 ST-2 AVE,2/19/2017,8:00:00,120581224,232
651,72 ST-2 AVE,2/19/2017,12:00:00,120583385,2161
652,72 ST-2 AVE,2/19/2017,16:00:00,120587192,3807
653,72 ST-2 AVE,2/19/2017,20:00:00,120590458,3266
654,72 ST-2 AVE,2/20/2017,0:00:00,120591864,1406
655,72 ST-2 AVE,2/20/2017,4:00:00,120592037,173
656,72 ST-2 AVE,2/20/2017,8:00:00,120592573,536
657,72 ST-2 AVE,2/20/2017,12:00:00,120595702,3129
658,72 ST-2 AVE,2/20/2017,16:00:00,120599827,4125
659,72 ST-2 AVE,2/20/2017,20:00:00,120604601,4774
660,72 ST-2 AVE,2/21/2017,0:00:00,120606333,1732
661,72 ST-2 AVE,2/21/2017,4:00:00,120606495,162
662,72 ST-2 AVE,2/21/2017,8:00:00,120608072,1577
663,72 ST-2 AVE,2/21/2017,12:00:00,120429314,5343
664,72 ST-2 AVE,2/21/2017,16:00:00,120619769,5054
665,72 ST-2 AVE,2/21/2017,20:00:00,118092234,5792
666,72 ST-2 AVE,2/22/2017,0:00:00,120631754,2403
667,72 ST-2 AVE,2/22/2017,4:00:00,120631941,187
668,72 ST-2 AVE,2/22/2017,8:00:00,120633573,1632
669,72 ST-2 AVE,2/22/2017,12:00:00,120175864,3789
670,72 ST-2 AVE,2/22/2017,16:00:00,120645818,5235
671,72 ST-2 AVE,2/22/2017,20:00:00,118062519,5118
672,72 ST-2 AVE,2/23/2017,0:00:00,120658548,2592
673,72 ST-2 AVE,2/23/2017,4:00:00,120658772,224
674,72 ST-2 AVE,2/23/2017,8:00:00,120660399,1627
675,72 ST-2 AVE,2/23/2017,12:00:00,120351373,4448
676,72 ST-2 AVE,2/23/2017,16:00:00,120672471,5299
677,72 ST-2 AVE,2/23/2017,20:00:00,118003934,5022
678,72 ST-2 AVE,2/24/2017,0:00:00,120612721,2828
679,72 ST-2 AVE,2/24/2017,4:00:00,120612963,242
680,72 ST-2 AVE,2/24/2017,8:00:00,120614416,1453
681,72 ST-2 AVE,2/24/2017,12:00:00,120373092,4727
682,72 ST-2 AVE,2/24/2017,16:00:00,120626336,5895
683,72 ST-2 AVE,2/24/2017,20:00:00,118017326,4880
684,72 ST-2 AVE,2/25/2017,0:00:00,120638628,2889
685,72 ST-2 AVE,2/25/2017,4:00:00,120638953,325
686,72 ST-2 AVE,2/25/2017,8:00:00,120639395,442
687,72 ST-2 AVE,2/25/2017,12:00:00,120642292,2746
688,72 ST-2 AVE,2/25/2017,16:00:00,120444991,3642
689,72 ST-2 AVE,2/25/2017,20:00:00,120448603,3612
690,72 ST-2 AVE,2/26/2017,0:00:00,120653448,2088
691,72 ST-2 AVE,2/26/2017,4:00:00,120653787,339
692,72 ST-2 AVE,2/26/2017,8:00:00,120654062,275
693,72 ST-2 AVE,2/26/2017,12:00:00,120656317,2255
694,72 ST-2 AVE,2/26/2017,16:00:00,120660255,3938
695,72 ST-2 AVE,2/26/2017,20:00:00,120663512,3257
696,72 ST-2 AVE,2/27/2017,0:00:00,120664868,1356
697,72 ST-2 AVE,2/27/2017,4:00:00,120665041,173
698,72 ST-2 AVE,2/27/2017,8:00:00,120666800,1759
699,72 ST-2 AVE,2/27/2017,12:00:00,120335799,4543
700,72 ST-2 AVE,2/27/2017,16:00:00,120678868,5308
701,72 ST-2 AVE,2/27/2017,20:00:00,118046265,4805
